,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
0,,The Girl Was Young,,USA,,,,***,,W50,,`The Wheel Spins',,,Dram,,12K,"all
early British",,,,,H,R,Hitchcock,Hitchcock,,@1922,,,Paramount,C,Brunel was the supervisor,H32,,"
   ",,,Louis~Levy,,,,,in UK lbs,Harry Stradling,,,,,,,Laughton,bnw,,"first sound, added",,X,Abel produced the German version,,,,,,,1927,,11Jul1988,,,,,Cornwall,resort,seashore,London,GB,,Elstree,,,Jamaica Inn,,,,,1939
1,,Die rote Lola,,\Ge,,,,*,[14],H,,Eroica,,,Susp,,.8M,all US feature films. This is the main part of the example ,,,,,H,R,Hitchcock,Hitchcock,,@1940,,,Paramount,V,Symbols:crossings,H84,,"
   ",,12M,Herrmann,,,,,,Leonard J. South,,sounds only,,AAN,,1938,Hitchcock,col,,"all shot in long, 10 minute takes",,R,,,440K,PG,,,,,,3Sep1988,,,,,East,church,cemetary,London,GB,,Universal,\GB,,Family Plot,,,,N-HT11,1976
2,,,,,,,,,,,,,,,Advt,,,,,,,,H,R,Hitchcock,Hitchcock,,@1944,,,,S(Elstree?),,H41,,"
   ",,,,,short,,,,,,,,,,,Ministry of Inf.,bnw,,not released?,,O,,,,,,,,,,,,,,,,,,,,,Elstree,,,Bon Voyage,,,,,1944
3,,,,,,,,,,,,Funeral March of the Marionette,,,Susp,,,,11Oct,,,,H,R,Hitchcock,Hitchcock,,@1955,,,CBS,Length(1h),,H78,,"
   ",,,Woolrich,,1h,,,,Henry Slesar,,,,,,,J.Harrison,TV,,,,R,,,,,,,,,,8Dec1991,,,,,sea,town,suburb,Atlantic City,USA,,Shamley,,,I Saw The Whole Thing,,,,N-HR2?1,1962
4,,,,,,,,,,,,,,,Comd,,,,,,,,WKD,R,Dickson,Dickson,,@1893,,,,,,WKD50,,"
   ",,,,,,,,,,,,,,,,Thomas A. Edison,bws,,,,N,,,,,,,,,,,,,,,,,,,,,Edison,,,"Terrible Teddy, the Grizzly King",,,,,1901
5,,The Gardener,,,,,,,,,,Danse Macabre,,,Actn,,,first ever,,,,,ALu,R,A.Lumiere,A.Lumiere,,@1895,,,,,,ALu30,,"
   ",,,,,15 min,,,,SaintSaens,,,,,,,A.Lumiere,sbw,,text only,,R,,,,,,,,,,1969,,,,,,palace,garden,castle,France,,Lumiere,,,L'assissinatat du Duc de Guise,,,,,1908
6,,,,,,,,***,,H,,,,,Dram,,13K,first,,,,,ESP,R,E.S.Porter,E.S.Porter,,@1896,,,,,first West,ESP40,,"
   ",,1M+,,,70min,,,,E.S.Porter,,,,,,,Zukor,bws,,,,R,,,,,,,,,,,,,,,West,train,,,USA,,Famous,,,Tess of The Storm Country,,,,,1914
7,,Une Partie de Cartes,,later,,,,,,,,,,,Fant,,,first,,,,,GMz,R,Melies,Melies,,@1896,,,,,first movie with actors,GMs20,,"
   ",,,,,,,,,,,,,,,,,bws,,trick photography,,,,,,,,,,,,23Oct1990,,,,,Paris,theater,studio,,Universe,university,,\Fr,,L'Homme a la Tete en Caoutchouc,,,,,1906
8,,,,,,,,,,,,,,,Dram,,,first,,,,,AMv,R,A. Marvin,A.Marvin,,@1900,,,,,,AMv10,,"
   ",,,,,3 min,,,,,,,,,,,,sbw,,,,,,,,,,,,,,,,,,,,,,,,,Biograph,,,The Downward Path,,,,,1900
9,,,,,,,,,,,,,,,,,,,,,,,Z00,R,Unknown0,Unknown0,,@1900,,,,,,Z0007,,"
   ",,,Shakespeare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard III,,,,,1908
